"Agency Name:","County of Court","Submitted","Nature of the investigation","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Stockton Police Department","San Joaquin","02/07/2017 - 10:27","Homicide Investigation","Business","Faceboook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-08-18","2016-10-18","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Monterey County Sheriff's Office","Monterey","02/07/2017 - 12:13","Homicide Investigation","Business","Metro PCS","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-03-01","2016-03-30","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Rohnert Park Department of Public Safety","Sonoma","02/07/2017 - 13:28","Victim of identity theft had her access card fraudulently used and the fraudulently purchased goods were being shipped to a residence in Rohnert Park.","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-09-29","2016-10-03","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","02/07/2017 - 15:35","Bomb threat via internet","Business","Google Inc, Time Warner Cable LLC","Basic subscriber information from a service provider","2017-01-13","2017-01-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"L.A. IMPACT","Los Angeles","02/07/2017 - 15:50","Narcotics Investigation","Device Only"," ","Location information","2016-11-14","2016-12-14","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","02/07/2017 - 15:56","Narcotics Investigation","Device Only"," ","Location information","2016-11-09","2016-12-09","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"CSU, Long Beach Police Dept.","Los Angeles","02/07/2017 - 16:22","CPc 459(a) - Burglary
Loss includes several electronic devices.","Business","Frontier Communication","Basic subscriber information from a service provider","2016-12-16","2016-12-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"FULLERTON POLICE DEPARTMENT","Orange","02/07/2017 - 17:55","STALKING CASE","Business","FACEBOOK","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-08-08","2016-10-31","was used as the means of committing a felony"," ","No"," "
"LAPD","Los Angeles","02/08/2017 - 07:43","Unauthorized computer access","Business","Facebook","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
","2016-12-13","2016-12-28","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"LAPD","Los Angeles","02/08/2017 - 07:47","Unauthorized computer access","Business","Twitter","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-12-13","2016-12-28","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"SBSD","San Bernardino","02/08/2017 - 10:35","Narcotics investigation","Device Only"," ","Basic subscriber information from a service provider
Location information
","2016-10-06","2016-11-05","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery","lead to destruction of or tampering with evidence","No"," "
"Ukiah Police Department","Mendocino","02/08/2017 - 13:52","211 PC Robbery with use of a firearm, 182 PC Conspiracy","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-01","2016-10-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Imperial County Narcotics Task Force","Imperial","02/08/2017 - 13:55","Narcotic Offense","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-02-08","2017-01-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"San Diego County District Attorney's Office","San Diego","02/08/2017 - 16:33","Defendant shot and killed his parents in Nov. 2014.  Search warrant obtained to search the victim's cell phones.  ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2012-11-28","2014-01-28","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Anaheim PD","Orange","02/09/2017 - 08:16","IP addresses associated to a kidnapping investigation","Business","AT&T","Basic subscriber information from a service provider","2016-07-31","2016-08-23","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"Sacramento Sheriff's Department","Sacramento","02/09/2017 - 14:09","OIS investigation","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2007-02-14","2016-12-27","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","02/09/2017 - 17:21","Narcotics Investigation","Device Only"," ","Location information","2016-10-14","2016-11-13","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","02/09/2017 - 17:26","Narcotics Investigation","Device Only"," ","Location information
Communications (email, text, voice mail, or other communication)
","2016-12-13","2017-01-13","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara","02/09/2017 - 17:28","String of residential burglaries committed by burglary crew dating back to at least September 2015.  The cellular phone to be searched in this search warrant was in the possession of one of the suspects.  Official subscriber information is unknown as this time (until search warrant returns are received from the cellular company).","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Internet Access Records, Gang Indicia
","2015-09-29","2016-11-04","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Sheriff's Department","Los Angeles","02/09/2017 - 18:20","Car to car shooting.  One of vehicles was recovered with two cell phones left inside.  Vehicle was reported stolen.","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-08-19","2016-11-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","02/10/2017 - 11:21","The murder of Sergio Iraheta on 10/16/2016.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-04-26","2016-10-26","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","02/10/2017 - 11:35","The murder of Sergio Iraheta on 10/16/2016.","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-04-26","2016-11-08","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Placer County District Attorney","Placer","02/10/2017 - 17:09","Homicide","Business","AT&T, Sprint, T-Mobile, U.S. Cellular and Cellco Partnership","Tower dumps","2016-11-05","2016-11-05","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Drug Enforcement Administration","Los Angeles","02/10/2017 - 17:25","Narcotics trafficking investigation","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
","2016-05-03","2016-05-12","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Pasadena PD","Los Angeles","02/13/2017 - 08:41","There was a shooting in the city of Pasadena and two victims died due to their gun shot wounds.","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-06-06","2017-01-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"SBCSD","San Bernardino","02/13/2017 - 13:43","Narcotic investigation","Device Only"," ","Location information","2016-07-28","2016-08-28","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Cypress Police Department","Orange","02/13/2017 - 13:55","Investigation regarding child pornography","Business","Hotmail, Microsoft Corporation Online Services","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2008-01-01","2013-01-01","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"South Pasadena Police","Los Angeles","02/14/2017 - 09:27","Penal Code 182 - Conspiracy","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2017-01-17","2017-02-17","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"SBCSD","San Bernardino","02/14/2017 - 10:25","Narcotic investigation","Device Only"," ","Location information","2016-08-03","2016-09-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"California Highway Patrol","Yolo","02/14/2017 - 12:56","Theft of a truck/trailer loaded with cargo occurred in Yolo county.  Several pieces of the stolen cargo are still outstanding.  One of the stolen pieces of cargo has been activated via the internet and identified via IP address.  ","Business","Microsoft Corporation and Charter Communications Inc. ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
Basic subscriber information from associated devices.  
","2017-01-21","2017-02-11","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"WALNUT CREEK POLICE DEPARTMENT","Contra Costa","02/14/2017 - 13:21","Welfare check on a depressed/drug dependent subject. Unable to locate subject. Ping of cell phone was activated. Subject later located, deceased.","Business","AT&T","Location information","2017-02-13","2017-02-13","EXIGENT CIRCUMSTANCES, PUBLIC SAFETY"," ","Yes","Welfare check on a depressed/drug dependent subject. Unable to locate subject. Ping of cell phone was activated. Subject later located, deceased."
"California Highway Patrol","Santa Clara","02/14/2017 - 13:21","Records or information concerning your electronic communication named in the search warrant were sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 02/14/2017 in Santa Clara County.
 These records were requested for a criminal investigation pertaining grand theft by false pretense in conjunction with computer access fraud that occurred within Santa Clara County during a period of time in early 2016.
 These records sought involve subscriber information, financial/billing records,  and device information, with my searching for records that specifically relate to the above mentioned investigation.","Business","AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-02-01","2016-06-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Mountain View Police Department ","Santa Clara","02/14/2017 - 15:17","459 Investigation ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
2 Phones
","2016-06-17","2017-01-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"SBCSD","San Bernardino","02/14/2017 - 15:38","Narcotic investigation","Device Only"," ","Location information","2016-08-09","2016-09-09","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"San Jose Police Department","Santa Clara","02/15/2017 - 07:02","Homicide investigation.","Business","Sprint Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-09-09","2016-11-17","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
","No"," "
"San Jose Police Department","Santa Clara","02/15/2017 - 07:07","Homicide Investigation.","Business","Sprint Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-09-01","2016-11-17","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
","No"," "
"Glendale Police Department","Los Angeles","02/15/2017 - 08:36","Fugitive Investigation involving suspect wanted in ADW on a Police Officer.  ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
","2016-11-01","2017-01-05","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Gilroy Police Department","Santa Clara","02/15/2017 - 11:56","Missing Person","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2015-12-01","2017-01-05","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 13:47","Answered Craigslist advertisements for suspected rape suspect","Business","Craigslist","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-06-09","2016-06-14","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"Anaheim PD","Orange","02/15/2017 - 13:56","Phone number used to post sexual advertisement","Business","AT and T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-04-01","2016-08-23","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:14","VPN service provider","Business","Nlayer Communications","Basic subscriber information from a service provider","2016-06-19","2016-06-19","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:19","VPN service provider involved in IP investigation","Business","EGI Hosting","Basic subscriber information from a service provider","2016-06-21","2016-06-21","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:25","VPN Service who held IP information","Business","AFNCA","Basic subscriber information from a service provider","2016-06-21","2016-06-21","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:32","Craigslist advertisements answered by suspect","Business","Craigslist","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-06-01","2016-07-16","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:39","IP address used to communicate in sex crimes case","Business","CenturyLink","Basic subscriber information from a service provider","2016-05-26","2016-05-26","was used as the means of committing a felony"," ","No"," "
"Anaheim PD","Orange","02/15/2017 - 14:55","IP address used in sex crime investigation","Business","Verizon Wireless","Basic subscriber information from a service provider","2016-05-26","2016-05-26","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"Santa Clara County Sheriff's Office","Santa Clara","02/15/2017 - 16:00","Records or information concerning an email account held by Google, Inc. These records were sought pursuant a search warrant signed by a judge. 

These records were requested for a criminal investigation pertaining to identity theft and credit card fraud related crimes that occurred within Santa Clara County during a period of time in 2016.

These records sought involve subscriber information, financial/billing records, electronic communication, stored data, connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned investigation.
","Business","Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","2015-01-01","2016-09-22","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Milpitas Police Department","Santa Clara","02/16/2017 - 06:47","On 11/5/16, a bank robbery occurred at 1285 S. Park Victoria Dr., Chase Bank.  The suspect passed the teller a demand note and fled the scene with $6,000.00.  The suspect ran west towards Dempsey Rd and no vehicle was seen. Search warrant requested to eliminate potential suspects and keep historical records.  ","Business","AT&T Wireless, Verizon Wireless, Sprint Corporation, and T-Mobile","Location information","2016-11-05","2016-11-05","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"San Mateo PD","San Mateo","02/16/2017 - 08:58","Several Residential Burglaries in San Mateo and Sunnyvale","Business","Verizon, AT&T, Sprint, T Mobile","Phone Numbers","2016-10-20","2016-11-24","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Anaheim Police Department","Orange","02/16/2017 - 11:08","To determine the origin and subscriber information related to an e-mail address","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-06-01","2016-06-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"DEA","Los Angeles","02/16/2017 - 11:32","crime related to narcotics","Device Only"," ","Location information","2016-06-22","2016-07-02","was used as the means of committing a felony
 tends to show that a felony has been committed or that a particular person has committed a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
","lead to flight from prosecution
 lead to destruction of or tampering with evidence
 lead to intimidation of potential witnesses
 otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Costa Mesa Police Department","Orange","02/16/2017 - 12:30","664-187 PC case. ","Device Only"," ","Stored files (picture, documents, or other files)","2017-02-16","2017-02-16","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"University of California, Irvine Police Department","Orange","02/16/2017 - 14:58","Theft and burglary investigation.","Business","AT&T Internet, Time Warner Cable, Cox Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-11-03","2016-11-08","ISP has records, per 1524.3, showing property was embezzled","lead to destruction of or tampering with evidence","No"," "
"San Diego District Attorney's Office","San Diego","02/18/2017 - 10:10","Locating evidence in a homicide investigation","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","2015-05-01","2017-02-24","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Anaheim Police Department","Orange","02/18/2017 - 10:31","A stabbing occurred where a cellphone was left behind. ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-17","2027-01-01","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sunnyvale DPS","Santa Clara","02/19/2017 - 06:29","Pursuant to a criminal forgery and identity theft investigation. ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-09-01","2016-12-02","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Sunnyvale DPS","Santa Clara","02/19/2017 - 06:31","Criminal forgery and identification theft investigation. ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-04-01","2016-12-02","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Long Beach Police","Los Angeles","02/19/2017 - 09:42","Real Estate Fraud Investigation","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2015-01-21","2015-11-16","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","02/20/2017 - 08:09","Criminal Threat investigation. LAPD crime report DR #1608-09585","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-04-27","2016-05-04","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Modesto Police Department","Stanislaus","02/21/2017 - 12:22","Child Pornography","Business","Google, AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
","2016-01-01","2016-11-14","tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","lead to destruction of or tampering with evidence","No"," "
"Sacramento Police Department","Sacramento","02/21/2017 - 17:17","Investigation of dissuading a victim/witness. Suspect contacted phone number in this search warrant in an attempt to assist him","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2016-09-01","2017-01-19","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Santa Maria Police Department ","Santa Barbara","02/22/2017 - 06:56","Investigation into a violation 186.22 PC ","Business","Metro PCS/T-Mobile; Sprint PCS; Cellco Partnership,LLP DBA Verizon Wireless; New Cingular Wireless PCS, AT&T internet","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-04-16","2016-12-07","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Los Altos Police Department","Santa Clara","02/22/2017 - 09:31","530.5 P.C. - Identity Theft","Business","Nelnet","Financial Records","2016-08-01","2017-01-07","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Walnut Creek Police Department","Contra Costa","02/22/2017 - 12:33","Welfare check on a transient subject who was depressed and had made suicidal threats. Unable to locate subject. Ping of cell phone was activated. Subject later located and placed on mental evaluation hold.","Business","Verizon Wireless","Location information","2017-02-20","2017-02-20","EXIGENT CIRCUMSTANCES, PUBLIC SAFETY "," ","Yes","Welfare check on a transient subject who was depressed and had made suicidal threats. Unable to locate subject. Ping of cell phone was activated. Subject later located and placed on mental evaluation hold."
"University of California, Irvine Police Department","Orange","02/22/2017 - 13:18","Stolen property investigation","Business","Apple Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-11-07","2017-02-22","Remote computing service has records related to stolen property","lead to destruction of or tampering with evidence","No"," "
"Stanislaus County Sheriff's Department","Stanislaus","02/22/2017 - 14:37","Victim was killed and his cell phone is outstanding.  Obtained Warrant for cell phone records.","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-02-03","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Placer County District Attorney","Placer","02/22/2017 - 16:23","Homicide Investigation","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-08-05","2016-11-15","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Ventura Police Department","Ventura","02/23/2017 - 09:32","Between 2/3/17 and 2/4/17, the unidentified target of this investigation communicated with a minor online using Omegle.com and Skype. The suspect exploited the minor into engaging in sexual and degrading acts on webcam, while threatening to post the video. The warrant was served on 2/23/17.","Business","Omegle.com and Microsoft Corporation","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-03","2017-02-04","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
"," ","No"," "
"CAL FIRE","Riverside","02/23/2017 - 10:06","Investigation related to an arson caused fire.","Business","Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-22","2017-02-01","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","02/23/2017 - 13:23","DISTRIBUTION OF ILLEGAL NARCOTICS IN VIOLATION OF CALIFORNIA HEALTH AND SAFETY CODES.","Device Only"," ","Basic subscriber information from a service provider
 Location information
 Addressing information (pen register or trap and trace)
","2016-07-30","2016-08-29","was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
 otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"SBCSD","San Bernardino","02/23/2017 - 13:25","Narcotics inv","Device Only"," ","Basic subscriber information from a service provider
Location information
","2016-10-25","2016-10-26","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"17-169","Los Angeles","02/23/2017 - 15:40","PC 459","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-11-07","2017-01-06","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"17-169","Los Angeles","02/23/2017 - 15:43","PC 459","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-11-07","2017-01-06","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Folsom Police Department","Sacramento","02/24/2017 - 06:40","Search warrant for IP address regarding possession of child pornography","Business","Comcast Cable Communications, LLC","Basic subscriber information from a service provider
Location information
","2017-02-01","2017-02-06","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Anaheim PD","Orange","02/24/2017 - 11:09","Facebook account was used to send child pornography","Business","Facebook. Inc","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2016-10-01","2016-12-01","was used as the means of committing a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence","No"," "
