,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
152,Riverside Police Department,Riverside,02/02/2017 - 09:38,This phone was dropped by the suspect during the commission of a strong armed robbery.,Business,T-Mobile ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-15,2016-11-23,was used as the means of committing a felony, ,No, 
156,Tehama County Sheriff's Office,Tehama,02/02/2017 - 16:54,"On January 30, 2017 a kidnapping and home invasion robbery occurred in Tehama County.  During the incident, the victim obtained a firearm from his residence and shot two of the three or four suspect(s).  On January 31, 2017, I learned one of the outstanding suspects was Alfonso VARGASTAPIA.  Alfonso VARGASTAPIA is believed to have been injured during the home invasion.  A cellular telephone number for Alfonso VARGASTAPIA was determined to be 530-366-0449.  A request for Exigent Circumstance was requested that contained subscriber records, pings, and call detail records with cell towers.  The telephone had no subscriber to serve the search warrant after the exigent circumstances.",Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-01-29,2017-02-02,tends to show that a felony has been committed or that a particular person has committed a felony, ,Yes,The person reported with this cellular telephone is believed to be wounded and is a suspect in a home invasion and robbery.
157,Butte County Sheriff Office ,Butte,02/03/2017 - 09:04,this was a NCMEC cyber tip and trying to identify the owner of the IP address and Google accounts ,Business,Google and Comcast,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-10-01,2016-12-28,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
158,Butte County Sheriff Office ,Butte,02/06/2017 - 07:04,child pornography NCMEC case,Business,"Comcast, Facebook, verizon ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01,2016-12-28,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
159,Tehama County Sheriff's Office,Tehama,02/06/2017 - 09:34,Double homicide investigation.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Internet Access Records
",2016-10-01,2017-01-30,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
160,Stockton police Department,San Joaquin,02/06/2017 - 10:53,A homicide investigation.,Business,Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-15,2017-01-01,tends to show that a felony has been committed or that a particular person has committed a felony,lead to flight from prosecution,No, 
161,Stockton Police Department,San Joaquin,02/06/2017 - 10:58,Homicide Investigation,Business,Facebook INC.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-18,2016-12-21,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
162,Stockton Police Department,San Joaquin,02/06/2017 - 11:03,Homicide Investigation,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-05-18,2016-12-27,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
163,California Highway Patrol,San Mateo,02/06/2017 - 15:43,"Records or information concerning your electronic communication and/or device information held by the entity
named in the search warrant were sought by the Regional Enforcement Allied Computer Team pursuant to a
search warrant issued on 02/06/2017 in San Mateo County.
These records were requested for a criminal investigation pertaining grand theft in conjunction with identity theft that occurred within San Mateo County during a period of time in late 2016.
These records sought involve subscriber information, financial/billing records, electronic communication, stored data,
connection logs, and transaction records, location data, with my searching for records that specifically relate to the above mentioned investigation.",Business,AT&T,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-07-01,2017-01-31,was used as the means of committing a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
165,Monterey County Sheriff's Office,Monterey,02/07/2017 - 12:13,Homicide Investigation,Business,Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-03-01,2016-03-30,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
168,L.A. IMPACT,Los Angeles,02/07/2017 - 15:50,Narcotics Investigation,Device Only, ,Location information,2016-11-14,2016-12-14,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
169,L.A. IMPACT,Los Angeles,02/07/2017 - 15:56,Narcotics Investigation,Device Only, ,Location information,2016-11-09,2016-12-09,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
171,FULLERTON POLICE DEPARTMENT,Orange,02/07/2017 - 17:55,STALKING CASE,Business,FACEBOOK,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-08-08,2016-10-31,was used as the means of committing a felony, ,No, 
172,LAPD,Los Angeles,02/08/2017 - 07:43,Unauthorized computer access,Business,Facebook,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
",2016-12-13,2016-12-28,was used as the means of committing a felony,lead to destruction of or tampering with evidence,No, 
173,LAPD,Los Angeles,02/08/2017 - 07:47,Unauthorized computer access,Business,Twitter,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-13,2016-12-28,was used as the means of committing a felony,lead to destruction of or tampering with evidence,No, 
174,SBSD,San Bernardino,02/08/2017 - 10:35,Narcotics investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-06,2016-11-05,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
175,Ukiah Police Department,Mendocino,02/08/2017 - 13:52,"211 PC Robbery with use of a firearm, 182 PC Conspiracy",Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2016-10-17,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
176,Imperial County Narcotics Task Force,Imperial,02/08/2017 - 13:55,Narcotic Offense,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-02-08,2017-01-17,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
179,Sacramento Sheriff's Department,Sacramento,02/09/2017 - 14:09,OIS investigation,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2007-02-14,2016-12-27,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
180,L.A. IMPACT,Los Angeles,02/09/2017 - 17:21,Narcotics Investigation,Device Only, ,Location information,2016-10-14,2016-11-13,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
181,L.A. IMPACT,Los Angeles,02/09/2017 - 17:26,Narcotics Investigation,Device Only, ,"Location information
Communications (email, text, voice mail, or other communication)
",2016-12-13,2017-01-13,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
182,San Jose Police Department,Santa Clara,02/09/2017 - 17:28,String of residential burglaries committed by burglary crew dating back to at least September 2015.  The cellular phone to be searched in this search warrant was in the possession of one of the suspects.  Official subscriber information is unknown as this time (until search warrant returns are received from the cellular company).,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Internet Access Records, Gang Indicia
",2015-09-29,2016-11-04,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
184,Los Angeles Police Department,Los Angeles,02/10/2017 - 11:21,The murder of Sergio Iraheta on 10/16/2016.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-26,2016-10-26,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
185,Los Angeles Police Department,Los Angeles,02/10/2017 - 11:35,The murder of Sergio Iraheta on 10/16/2016.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-26,2016-11-08,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
187,Drug Enforcement Administration,Los Angeles,02/10/2017 - 17:25,Narcotics trafficking investigation,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-05-03,2016-05-12,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
188,Pasadena PD,Los Angeles,02/13/2017 - 08:41,There was a shooting in the city of Pasadena and two victims died due to their gun shot wounds.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-06,2017-01-17,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
189,SBCSD,San Bernardino,02/13/2017 - 13:43,Narcotic investigation,Device Only, ,Location information,2016-07-28,2016-08-28,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
191,South Pasadena Police,Los Angeles,02/14/2017 - 09:27,Penal Code 182 - Conspiracy,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2017-01-17,2017-02-17,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
192,SBCSD,San Bernardino,02/14/2017 - 10:25,Narcotic investigation,Device Only, ,Location information,2016-08-03,2016-09-03,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
194,WALNUT CREEK POLICE DEPARTMENT,Contra Costa,02/14/2017 - 13:21,"Welfare check on a depressed/drug dependent subject. Unable to locate subject. Ping of cell phone was activated. Subject later located, deceased.",Business,AT&T,Location information,2017-02-13,2017-02-13,"EXIGENT CIRCUMSTANCES, PUBLIC SAFETY", ,Yes,"Welfare check on a depressed/drug dependent subject. Unable to locate subject. Ping of cell phone was activated. Subject later located, deceased."
196,Mountain View Police Department ,Santa Clara,02/14/2017 - 15:17,459 Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
2 Phones
",2016-06-17,2017-01-17,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
197,SBCSD,San Bernardino,02/14/2017 - 15:38,Narcotic investigation,Device Only, ,Location information,2016-08-09,2016-09-09,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
198,San Jose Police Department,Santa Clara,02/15/2017 - 07:02,Homicide investigation.,Business,Sprint Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-09,2016-11-17,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
",No, 
199,San Jose Police Department,Santa Clara,02/15/2017 - 07:07,Homicide Investigation.,Business,Sprint Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-09-01,2016-11-17,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
",No, 
200,Glendale Police Department,Los Angeles,02/15/2017 - 08:36,Fugitive Investigation involving suspect wanted in ADW on a Police Officer.  ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-11-01,2017-01-05,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
201,Gilroy Police Department,Santa Clara,02/15/2017 - 11:56,Missing Person,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-12-01,2017-01-05,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
211,Milpitas Police Department,Santa Clara,02/16/2017 - 06:47,"On 11/5/16, a bank robbery occurred at 1285 S. Park Victoria Dr., Chase Bank.  The suspect passed the teller a demand note and fled the scene with $6,000.00.  The suspect ran west towards Dempsey Rd and no vehicle was seen. Search warrant requested to eliminate potential suspects and keep historical records.  ",Business,"AT&T Wireless, Verizon Wireless, Sprint Corporation, and T-Mobile",Location information,2016-11-05,2016-11-05,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
214,DEA,Los Angeles,02/16/2017 - 11:32,crime related to narcotics,Device Only, ,Location information,2016-06-22,2016-07-02,"was used as the means of committing a felony
 tends to show that a felony has been committed or that a particular person has committed a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
","lead to flight from prosecution
 lead to destruction of or tampering with evidence
 lead to intimidation of potential witnesses
 otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
220,Sunnyvale DPS,Santa Clara,02/19/2017 - 06:31,Criminal forgery and identification theft investigation. ,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-01,2016-12-02,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
222,Los Angeles Police Department,Los Angeles,02/20/2017 - 08:09,Criminal Threat investigation. LAPD crime report DR #1608-09585,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-27,2016-05-04,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
224,Sacramento Police Department,Sacramento,02/21/2017 - 17:17,Investigation of dissuading a victim/witness. Suspect contacted phone number in this search warrant in an attempt to assist him,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2016-09-01,2017-01-19,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
225,Santa Maria Police Department ,Santa Barbara,02/22/2017 - 06:56,Investigation into a violation 186.22 PC ,Business,"Metro PCS/T-Mobile; Sprint PCS; Cellco Partnership,LLP DBA Verizon Wireless; New Cingular Wireless PCS, AT&T internet","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-04-16,2016-12-07,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
227,Walnut Creek Police Department,Contra Costa,02/22/2017 - 12:33,Welfare check on a transient subject who was depressed and had made suicidal threats. Unable to locate subject. Ping of cell phone was activated. Subject later located and placed on mental evaluation hold.,Business,Verizon Wireless,Location information,2017-02-20,2017-02-20,"EXIGENT CIRCUMSTANCES, PUBLIC SAFETY ", ,Yes,Welfare check on a transient subject who was depressed and had made suicidal threats. Unable to locate subject. Ping of cell phone was activated. Subject later located and placed on mental evaluation hold.
230,Placer County District Attorney,Placer,02/22/2017 - 16:23,Homicide Investigation,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-05,2016-11-15,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
232,CAL FIRE,Riverside,02/23/2017 - 10:06,Investigation related to an arson caused fire.,Business,Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-22,2017-02-01,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
233,L.A. IMPACT,Los Angeles,02/23/2017 - 13:23,DISTRIBUTION OF ILLEGAL NARCOTICS IN VIOLATION OF CALIFORNIA HEALTH AND SAFETY CODES.,Device Only, ,"Basic subscriber information from a service provider
 Location information
 Addressing information (pen register or trap and trace)
",2016-07-30,2016-08-29,"was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
 otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
234,SBCSD,San Bernardino,02/23/2017 - 13:25,Narcotics inv,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-25,2016-10-26,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, 
235,17-169,Los Angeles,02/23/2017 - 15:40,PC 459,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-11-07,2017-01-06,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
236,17-169,Los Angeles,02/23/2017 - 15:43,PC 459,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-11-07,2017-01-06,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
237,Folsom Police Department,Sacramento,02/24/2017 - 06:40,Search warrant for IP address regarding possession of child pornography,Business,"Comcast Cable Communications, LLC","Basic subscriber information from a service provider
Location information
",2017-02-01,2017-02-06,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
241,DEA,Los Angeles,02/27/2017 - 10:53,narcotics trafficking,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-11-29,2016-12-07,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
242,Los Angeles County Sheriff's Department,Los Angeles,02/27/2017 - 11:52,"The device in question was located inside a room, where a multiple physical and sexual assault took place.  The owner/user of the device is unknown.  The suspects in the case are accused of sex trafficking of a minor as well as physical/sexual assaults against the minor victim. ",Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-05-01,2015-11-11,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
243,LAPD,Los Angeles,02/27/2017 - 12:49,187 investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-03-01,2015-10-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
245,Butte County Sheriff's Office ,Butte,02/28/2017 - 09:40,This is a NCMEC case where and person was downloading and sharing child pornogarphy,Business,Comcast,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-09-01,2016-09-30,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
246,Vallejo Police ,Solano,03/01/2017 - 10:34,187 PC,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-02-25,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
247,San Diego County Sheriff's Department,San Diego,03/01/2017 - 11:20,Sprint account opened up fraudulently in victim's name using her personal information.  Case of ID theft.  ,Business,Sprint,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2015-05-18,2015-05-31,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
248,HIDTA,Los Angeles,03/01/2017 - 14:06,Narcotic investigation,Device Only, ,Location information,2017-03-01,2017-03-30,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
249,San Francisco Police Dept.,San Francisco,03/01/2017 - 15:24,"(other warrants signed 06/23/2016 - Extensions signed 09/18/2016)

Criminal investigations of a shooting/assault",Business, ,"Basic subscriber information from a service provider
 Stored files (picture
 documents
 or other files)
 Communications (email
 text
 voice mail
 or other communication)
 Other transactional  and account records from a service provider
 Location information
",2016-02-10,2016-06-18,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
 lead to flight from prosecution
 lead to destruction of or tampering with evidence
 lead to intimidation of potential witnesses
 otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
250,Long Beach Police Department,Los Angeles,03/01/2017 - 15:42,Murder Investigation.,Business,"Metro PCS, Sprint and Cingular","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Call Data Records
",2016-09-01,2016-12-08,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
Will assist in locating an individual who committed or is committing a felony.
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
251,Berkeley PD,Alameda,03/01/2017 - 15:44,Murder,Business,T-Mobile,Location information,2016-11-23,2016-12-15,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
252,Long Beach Police Department,Los Angeles,03/01/2017 - 15:47,Murder Investigation.,"Residence
Business
Device Only
",T-Mobile,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Call data records
",2016-09-01,2016-12-10,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
Will assist in locating an individual who has committed or is committing a felony.
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
258,Long Beach,Los Angeles,03/02/2017 - 11:46,Drugs,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-10-13,2016-11-12,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
259,Long Beach,Los Angeles,03/02/2017 - 11:52,Drugs,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-09-16,2016-10-15,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
260,Long Beach,Los Angeles,03/02/2017 - 12:02,Drugs,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-07,2016-11-06,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
261,Folsom PD,Sacramento,03/02/2017 - 14:13,530.5 PC,Business,Fingerhut,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01,2017-01-28,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
264,"University of California, Irvine Police Department",Orange,03/03/2017 - 16:45,Stolen property investigation,Business,AT&T Internet Services,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2016-11-04,2016-11-04,Remote computing service has records related to stolen property,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
268,Anaheim PD,Orange,03/07/2017 - 12:16,IP address.phone number and cell tower information used to create social media account to distribute child pornography,Business,T-Mobile,"Basic subscriber information from a service provider
Location information
",2016-11-25,2016-12-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, 
